       xmin        xmax        zmin        zmax       ptmin       ptmax          <x>       <Q^2>         <z>        <pT>        A_UT   dA_UT(Collins)            A_UT   dA_UT(Sivers)
        0.6         0.7         0.6         0.7           0         0.2      0.63566      9.0863     0.63639     0.12935   -0.022474           0.11777       -0.017249          0.11813
        0.3         0.4         0.6         0.7         0.2         0.4       0.3739      5.9114     0.63808     0.35293   -0.024435          0.090548        -0.18434         0.090362
        0.4         0.5         0.6         0.7         0.2         0.4      0.45495      7.0203     0.64261     0.32432   -0.028987          0.038975        -0.12927         0.038874
        0.5         0.6         0.6         0.7         0.2         0.4      0.54718      8.1687     0.64432     0.30936   -0.037315          0.041442        -0.07701         0.041417
        0.6         0.7         0.6         0.7         0.2         0.4      0.62869      9.1765     0.63394     0.29665   -0.047296          0.087255       -0.039812         0.087295
        0.2         0.3         0.6         0.7         0.4         0.6      0.27872      4.6979       0.634     0.55133   -0.022723          0.085189        -0.31254          0.08497
        0.3         0.4         0.6         0.7         0.4         0.6      0.35655      5.8404     0.64163     0.51705   -0.029136          0.028431        -0.26171         0.028408
        0.4         0.5         0.6         0.7         0.4         0.6      0.44789      7.0628     0.64437     0.50146   -0.039334          0.026151        -0.18982         0.026151
        0.5         0.6         0.6         0.7         0.4         0.6      0.54252      8.2043     0.64315     0.49437   -0.053913          0.038822        -0.11614         0.038795
        0.6         0.7         0.6         0.7         0.4         0.6      0.61949      9.2447     0.62585     0.47041   -0.066683           0.13181       -0.061815          0.13163
        0.1         0.2         0.6         0.7         0.6         0.8      0.18475       3.321      0.6273     0.75842   -0.015447           0.12627        -0.36211          0.12663
        0.2         0.3         0.6         0.7         0.6         0.8      0.25971      4.5109      0.6401     0.71335   -0.022605          0.028006        -0.36774         0.027956
        0.3         0.4         0.6         0.7         0.6         0.8      0.34856       5.805     0.64466     0.69517   -0.033186          0.022247        -0.31947         0.022236
        0.4         0.5         0.6         0.7         0.6         0.8      0.44549      7.0719     0.64553      0.6904   -0.047931          0.028587        -0.23334         0.028567
        0.5         0.6         0.6         0.7         0.6         0.8      0.53219      8.2003     0.63784     0.67384   -0.063027          0.057855        -0.14855          0.05769
        0.1         0.2         0.6         0.7         0.8           1      0.17564       3.196     0.64113     0.90096   -0.014953          0.045299        -0.37592         0.045269
        0.2         0.3         0.6         0.7         0.8           1       0.2502       4.402     0.64513     0.89015   -0.022923          0.024083        -0.39619         0.024072
        0.3         0.4         0.6         0.7         0.8           1      0.34651      5.7971     0.64651      0.8856   -0.036291          0.027942        -0.34706         0.027876
        0.4         0.5         0.6         0.7         0.8           1      0.43835      7.0529     0.64375     0.87336   -0.050846            0.0455        -0.25898         0.045481
        0.1         0.2         0.6         0.7           1         1.2      0.17319       3.158     0.64632      1.0836   -0.015035           0.04997        -0.36999         0.049884
        0.2         0.3         0.6         0.7           1         1.2      0.24825      4.3795     0.64739      1.0819    -0.02319          0.034159        -0.39187         0.034124
        0.3         0.4         0.6         0.7           1         1.2      0.34079      5.7563     0.64694      1.0712   -0.035766          0.048738        -0.34841         0.048712
