       xmin        xmax        zmin        zmax       ptmin       ptmax          <x>       <Q^2>         <z>        <pT>        A_UT   dA_UT(Collins)            A_UT   dA_UT(Sivers)
        0.6         0.7         0.5         0.6         0.4         0.6      0.63432      9.3077     0.54234      0.4823    0.077168          0.030349       0.0016299         0.030412
        0.1         0.2         0.5         0.6         0.6         0.8      0.17712      3.2161     0.53533     0.72405    0.016273          0.029414       -0.086365         0.029432
        0.2         0.3         0.5         0.6         0.6         0.8      0.25178      4.4189     0.54166     0.69948     0.02603          0.012798       -0.066831           0.0128
        0.3         0.4         0.5         0.6         0.6         0.8      0.34673       5.795     0.54426      0.6912    0.041674          0.012653       -0.039397         0.012662
        0.4         0.5         0.5         0.6         0.6         0.8      0.44383      7.0781     0.54569     0.68586    0.059205          0.015952       -0.018172          0.01592
        0.5         0.6         0.5         0.6         0.6         0.8      0.53997      8.2856     0.54732     0.67813    0.076656          0.025448      -0.0045229         0.025468
        0.1         0.2         0.5         0.6         0.8           1      0.17304      3.1551     0.54415     0.88807    0.016638          0.022904       -0.092791         0.022989
        0.2         0.3         0.5         0.6         0.8           1      0.24799      4.3746     0.54523     0.88527    0.027139          0.014802       -0.074179         0.014786
        0.3         0.4         0.5         0.6         0.8           1      0.34382      5.7826     0.54728     0.87953    0.044041          0.018388       -0.043848         0.018419
        0.4         0.5         0.5         0.6         0.8           1      0.43998      7.1034     0.55056     0.87168    0.062206           0.02929       -0.020055         0.029207
        0.1         0.2         0.5         0.6           1         1.2      0.17223      3.1425     0.54681       1.079    0.016377          0.034202       -0.094242         0.034177
        0.2         0.3         0.5         0.6           1         1.2      0.24509      4.3429     0.54903      1.0739    0.026278          0.025487       -0.075712         0.025385
        0.3         0.4         0.5         0.6           1         1.2      0.33964      5.7729     0.55381       1.066    0.042316          0.040891       -0.044436         0.040633
        0.5         0.6         0.6         0.7           0         0.2      0.55462      8.0471     0.64261     0.13937    0.023649          0.043951       0.0018409         0.044039
        0.6         0.7         0.6         0.7           0         0.2      0.63514      9.0726     0.63481     0.12884    0.025327          0.053054       0.0017803         0.053188
        0.3         0.4         0.6         0.7         0.2         0.4      0.37366      5.9083     0.63704     0.35264    0.033568          0.071173      -0.0065808         0.071106
        0.4         0.5         0.6         0.7         0.2         0.4      0.45462      7.0184     0.64137     0.32485    0.039341          0.026558      0.00067793         0.026538
        0.5         0.6         0.6         0.7         0.2         0.4       0.5466       8.161     0.64275     0.30955    0.047622          0.023275       0.0038105         0.023391
