     <bin>     <x>       <Pt>      <z>        <Q2>     <y>     <Yield>   <Astat>
     1386     0.000     0.000     0.000     0.000     0.000        0     0.000
     1387     0.000     0.000     0.000     0.000     0.000        0     0.000
     1388     0.000     0.000     0.000     0.000     0.000        0     0.000
     1389     0.000     0.000     0.000     0.000     0.000        0     0.000
     1390     0.000     0.000     0.000     0.000     0.000        0     0.000
     1391     0.000     0.000     0.000     0.000     0.000        0     0.000
     1392     0.000     0.000     0.000     0.000     0.000        0     0.000
     1393     0.000     0.000     0.000     0.000     0.000        0     0.000
     1394     0.000     0.000     0.000     0.000     0.000        0     0.000
     1395     0.000     0.000     0.000     0.000     0.000        0     0.000
     1396     0.000     0.000     0.000     0.000     0.000        0     0.000
     1397     0.000     0.000     0.000     0.000     0.000        0     0.000
     1398     0.000     0.000     0.000     0.000     0.000        0     0.000
     1399     0.000     0.000     0.000     0.000     0.000        0     0.000
     1400     0.110     0.117     0.545     1.240     0.547     3606     0.050
     1401     0.102     0.242     0.544     1.238     0.589    34281     0.016
     1402     0.096     0.381     0.545     1.234     0.631    81342     0.010
     1403     0.090     0.523     0.546     1.232     0.673    93361     0.010
     1404     0.086     0.670     0.547     1.227     0.699    68627     0.011
     1405     0.084     0.819     0.546     1.226     0.716    42432     0.014
     1406     0.083     0.963     0.548     1.229     0.729    22030     0.020
     1407     0.082     1.110     0.551     1.234     0.739     7839     0.034
     1408     0.080     1.256     0.554     1.240     0.755     2043     0.066
     1409     0.077     1.404     0.566     1.248     0.786      327     0.165
     1410     0.146     0.098     0.548     1.399     0.470    13928     0.025
     1411     0.142     0.229     0.548     1.395     0.482    34344     0.016
     1412     0.138     0.368     0.549     1.394     0.494    28807     0.018
     1413     0.138     0.517     0.550     1.397     0.494    14718     0.025
     1414     0.140     0.667     0.549     1.397     0.489     8427     0.032
     1415     0.139     0.818     0.548     1.395     0.489     4731     0.043
     1416     0.137     0.960     0.552     1.396     0.497     1822     0.070
     1417     0.131     1.102     0.560     1.406     0.522      342     0.161
     1418     0.126     1.225     0.571     1.433     0.550       21     0.651
     1419     0.000     0.000     0.000     0.000     0.000        0     0.000
     1420     0.186     0.096     0.549     1.480     0.385      810     0.105
     1421     0.186     0.222     0.549     1.480     0.385     1354     0.081
     1422     0.186     0.366     0.552     1.479     0.385      811     0.105
     1423     0.187     0.521     0.547     1.481     0.385      423     0.145
     1424     0.186     0.670     0.551     1.481     0.385      246     0.190
     1425     0.186     0.814     0.549     1.480     0.385      139     0.253
     1426     0.185     0.919     0.546     1.486     0.390       15     0.770
     1427     0.000     0.000     0.000     0.000     0.000        0     0.000
