     <bin>     <x>       <Pt>      <z>        <Q2>     <y>     <Yield>   <Astat>
     1201     0.101     0.247     0.345     1.198     0.580    35524     0.016
     1202     0.094     0.385     0.344     1.206     0.631   111229     0.009
     1203     0.091     0.526     0.344     1.208     0.655   151630     0.008
     1204     0.090     0.673     0.344     1.210     0.665   151952     0.008
     1205     0.090     0.820     0.345     1.213     0.671   114416     0.009
     1206     0.089     0.969     0.346     1.215     0.678    74268     0.011
     1207     0.088     1.116     0.347     1.220     0.687    41078     0.015
     1208     0.085     1.263     0.350     1.229     0.708    17813     0.022
     1209     0.082     1.410     0.354     1.233     0.738     5728     0.039
     1210     0.151     0.121     0.353     1.312     0.426     7201     0.035
     1211     0.148     0.236     0.345     1.305     0.433    48819     0.013
     1212     0.145     0.378     0.346     1.309     0.441    72576     0.011
     1213     0.145     0.524     0.345     1.308     0.442    76325     0.011
     1214     0.145     0.672     0.345     1.309     0.442    65863     0.012
     1215     0.145     0.819     0.346     1.310     0.444    45522     0.014
     1216     0.140     0.961     0.348     1.323     0.462    20909     0.021
     1217     0.131     1.105     0.353     1.362     0.503     5216     0.041
     1218     0.126     1.239     0.362     1.427     0.551      482     0.136
     1219     0.121     1.355     0.384     1.469     0.587        3     1.721
     1220     0.209     0.118     0.347     1.380     0.322     6230     0.038
     1221     0.207     0.230     0.347     1.380     0.324    29429     0.017
     1222     0.207     0.376     0.346     1.380     0.326    32394     0.017
     1223     0.206     0.523     0.346     1.380     0.327    31306     0.017
     1224     0.205     0.670     0.345     1.381     0.329    25074     0.019
     1225     0.194     0.801     0.349     1.394     0.348     8495     0.032
     1226     0.184     0.923     0.363     1.452     0.382      301     0.172
     1227     0.000     0.000     0.000     0.000     0.000        0     0.000
     1228     0.000     0.000     0.000     0.000     0.000        0     0.000
     1229     0.000     0.000     0.000     0.000     0.000        0     0.000
     1230     0.267     0.107     0.346     1.427     0.260     4321     0.045
     1231     0.265     0.228     0.348     1.428     0.262    13314     0.026
     1232     0.264     0.373     0.346     1.428     0.263    12698     0.026
     1233     0.262     0.519     0.346     1.428     0.265    10471     0.029
     1234     0.251     0.637     0.349     1.438     0.278     2671     0.058
     1235     0.000     0.000     0.000     0.000     0.000        0     0.000
     1236     0.000     0.000     0.000     0.000     0.000        0     0.000
     1237     0.000     0.000     0.000     0.000     0.000        0     0.000
     1238     0.000     0.000     0.000     0.000     0.000        0     0.000
     1239     0.000     0.000     0.000     0.000     0.000        0     0.000
     1240     0.310     0.095     0.345     1.460     0.228      761     0.108
     1241     0.310     0.226     0.348     1.460     0.229     1705     0.072
     1242     0.310     0.373     0.345     1.460     0.228     1537     0.076
     1243     0.308     0.481     0.347     1.461     0.230      482     0.136
     1244     0.000     0.000     0.000     0.000     0.000        0     0.000
     1245     0.000     0.000     0.000     0.000     0.000        0     0.000
     1246     0.000     0.000     0.000     0.000     0.000        0     0.000
     1247     0.000     0.000     0.000     0.000     0.000        0     0.000
     1248     0.000     0.000     0.000     0.000     0.000        0     0.000
     1249     0.000     0.000     0.000     0.000     0.000        0     0.000
     1250     0.000     0.000     0.000     0.000     0.000        0     0.000
     1251     0.000     0.000     0.000     0.000     0.000        0     0.000
     1252     0.000     0.000     0.000     0.000     0.000        0     0.000
     1253     0.000     0.000     0.000     0.000     0.000        0     0.000
     1254     0.000     0.000     0.000     0.000     0.000        0     0.000
     1255     0.000     0.000     0.000     0.000     0.000        0     0.000
     1256     0.000     0.000     0.000     0.000     0.000        0     0.000
     1257     0.000     0.000     0.000     0.000     0.000        0     0.000
     1258     0.000     0.000     0.000     0.000     0.000        0     0.000
     1259     0.000     0.000     0.000     0.000     0.000        0     0.000
     1260     0.000     0.000     0.000     0.000     0.000        0     0.000
     1261     0.000     0.000     0.000     0.000     0.000        0     0.000
     1262     0.000     0.000     0.000     0.000     0.000        0     0.000
     1263     0.000     0.000     0.000     0.000     0.000        0     0.000
     1264     0.000     0.000     0.000     0.000     0.000        0     0.000
     1265     0.000     0.000     0.000     0.000     0.000        0     0.000
     1266     0.000     0.000     0.000     0.000     0.000        0     0.000
     1267     0.000     0.000     0.000     0.000     0.000        0     0.000
     1268     0.000     0.000     0.000     0.000     0.000        0     0.000
     1269     0.000     0.000     0.000     0.000     0.000        0     0.000
     1270     0.000     0.000     0.000     0.000     0.000        0     0.000
     1271     0.000     0.000     0.000     0.000     0.000        0     0.000
     1272     0.000     0.000     0.000     0.000     0.000        0     0.000
     1273     0.000     0.000     0.000     0.000     0.000        0     0.000
     1274     0.000     0.000     0.000     0.000     0.000        0     0.000
     1275     0.000     0.000     0.000     0.000     0.000        0     0.000
     1276     0.000     0.000     0.000     0.000     0.000        0     0.000
     1277     0.000     0.000     0.000     0.000     0.000        0     0.000
     1278     0.000     0.000     0.000     0.000     0.000        0     0.000
     1279     0.000     0.000     0.000     0.000     0.000        0     0.000
     1280     0.000     0.000     0.000     0.000     0.000        0     0.000
     1281     0.000     0.000     0.000     0.000     0.000        0     0.000
     1282     0.000     0.000     0.000     0.000     0.000        0     0.000
     1283     0.000     0.000     0.000     0.000     0.000        0     0.000
     1284     0.000     0.000     0.000     0.000     0.000        0     0.000
     1285     0.000     0.000     0.000     0.000     0.000        0     0.000
     1286     0.000     0.000     0.000     0.000     0.000        0     0.000
     1287     0.000     0.000     0.000     0.000     0.000        0     0.000
